GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
flowstore,life.qbic.model.weblog,MetaData,56,107,11,3,8,9,7,4,0,4
flowstore,life.qbic.model.weblog,Trace,22,141,7,7,4,13,6,5,0,4
flowstore,life.qbic.model.weblog,NextflowEventType,0,167,0,0,0,0,0,1,0,1
flowstore,life.qbic.model.weblog,RunInfo,161,164,5,5,11,10,6,3,1,3
flowstore,life.qbic.model,WeblogMessage,38,244,2,2,8,16,2,7,0,7
flowstore,life.qbic.model,WeblogMessage._withRunAndTraceInfo_closure2,24,63,0,0,1,3,2,2,2,2
flowstore,life.qbic.model,WeblogMessage._withRunInfo_closure4,13,57,0,0,1,3,1,2,1,2
flowstore,life.qbic.model,WeblogMessage._withRunAndMetadataInfo_closure3,24,63,0,0,1,3,2,2,2,2
flowstore,life.qbic.model,WeblogMessage._createFromJson_closure1,10,68,0,0,1,3,1,2,1,2
flowstore,life.qbic.endpoints,MessagesController,652,0,22,0,52,0,19,0,8,0
flowstore,life.qbic,Contact,135,0,0,0,10,0,2,0,2,0
flowstore,life.qbic,Application,17,0,0,0,2,0,2,0,2,0
flowstore,life.qbic.service,WorkflowInformationCenter,95,0,0,0,12,0,6,0,6,0
flowstore,life.qbic.database,MariaDBStorage._findTracesForRunWithPrimaryKey_closure1,18,0,0,0,1,0,2,0,2,0
flowstore,life.qbic.database,MariaDBStorage,2697,0,62,0,167,0,57,0,26,0
flowstore,life.qbic.database,MariaDBStorage._tryToFindAllRunInfo_closure4,18,0,0,0,1,0,2,0,2,0
flowstore,life.qbic.database,MariaDBStorage._findRunWithRunId_closure2,18,0,0,0,1,0,2,0,2,0
flowstore,life.qbic.database,WeblogStorageException,135,0,6,0,6,0,8,0,3,0
flowstore,life.qbic.database,MariaDBStorage._findMetadataForRunWithForeignKey_closure3,18,0,0,0,1,0,2,0,2,0
